PrefTaxon	12543267.A01S66	28475012.A02S69	Gblock.A03S96	NTC.A04S28	POS.A05S23
Eunotia pectinalis var. minor fo. intermedia	0	0	0	0	0
Eunotia pectinalis var. undulata	0	0	0	0	0
Eunotia pectinalis var. ventralis	0	0	0	0	0
Eunotia pectinalis var. ventricosa	0	0	0	0	0
Eunotia pirla	0	0	0	0	0
Eunotia praerupta	0	0	0	0	0
Eunotia praerupta-nana	0	0	0	0	0
Eunotia praerupta var. bidens	0	0	0	0	0
Eunotia pseudopectinalis	0	0	0	0	0
Eunotia rhomboidea	0	0	0	0	0
Eunotia rhynchocephala	0	0	0	0	0
Eunotia schwabei	0	0	0	0	0
Eunotia septentrionalis	0	0	0	0	0
Eunotia serra	0	0	0	0	0
Eunotia serra var. diadema	0	0	0	0	0
Eunotia serra var. tetraodon	0	0	0	0	0
Eunotia silvahercynia	0	0	0	0	0
Eunotia soleirolii	0	0	0	0	0
Eunotia subarcuatoides	0	0	0	0	0
Eunotia sudetica	0	0	0	0	0
Eunotia tenella	0	0	0	0	0
Eunotia tridentula	0	0	0	0	0
Eunotia trinacria var. trinacria	0	0	0	0	0
Eunotia valida	0	0	0	0	0
Fallacia	0	0	0	0	0
Fallacia forcipata	0	0	0	0	0
Fallacia helensis	0	0	0	0	0
Fallacia indifferens	0	0	0	0	0
Fallacia insociabilis	0	0	0	0	0
Fallacia lenzii	0	0	0	0	0
Fallacia lucinensis	0	0	0	0	0
Fallacia monoculata	0	0	0	0	0
Fallacia pygmaea	0	0	0	0	0
Fallacia subhamulata	0	0	0	0	0
Fallacia sublucidula	0	0	0	0	0
Fallacia tenera	0	0	0	0	0
Fistulifera / Mayamaea	0	0	0	0	0
Fistulifera pelliculosa	0	0	0	0	0
Fistulifera saprophila	139	890	0	0	110
Fistulifera solaris	5	36	0	0	1
Fragilaria	0	0	0	0	0
Fragilaria bicapitata	0	0	0	0	0
Fragilaria bidens	1	0	0	0	0
Fragilaria brevistriata	0	0	0	0	0
Fragilaria capucina	0	0	0	0	0
Fragilaria capucina agg.	0	0	0	0	0
Fragilaria capucina var. amphicephala	0	0	0	0	0
Fragilaria capucina var. austriaca	0	0	0	0	0
Fragilaria capucina var. capitellata	0	0	0	0	0
Fragilaria capucina var. distans	0	0	0	0	0
Fragilaria capucina var. intermedia	0	0	0	0	0
Fragilaria capucina var. perminuta	0	0	0	0	0
Fragilaria capucina var. rumpens	0	0	0	0	0
Fragilaria capucina var. subsalina	0	0	0	0	0
Fragilaria constricta fo. constricta	0	0	0	0	0
Fragilaria constricta fo. stricta	0	0	0	0	0
Fragilaria construens	0	5	0	0	0
Fragilaria construens var. binodis	0	0	0	0	0
Fragilaria construens var. exigua	0	0	0	0	0
Fragilaria construens var. pumila	0	0	0	0	0
Fragilaria construens var. subsalina	0	0	0	0	0
Fragilaria construens var. venter	0	0	0	0	0
Fragilaria crotonensis	0	0	0	0	0
Fragilaria delicatissima	0	0	0	0	0
Fragilaria elliptica	0	0	0	0	0
Fragilaria exigua	0	0	0	0	0
Fragilaria famelica	2	0	0	0	0
Fragilaria fasciculata	0	0	0	0	0
Fragilaria gracilis	387	86	0	1	128
Fragilaria incognita	0	0	0	0	0
Fragilaria intermedia	0	0	0	0	0
Fragilaria karelica	0	0	0	0	0
Fragilaria lapponica	0	0	0	0	0
Fragilaria leptostauron	0	0	0	0	0
Fragilaria leptostauron var. dubia	0	0	0	0	0
Fragilaria leptostauron var. martyi	0	0	0	0	0
Fragilaria mesolepta	0	0	0	0	0
Fragilaria microstriata	0	0	0	0	0
Fragilaria nanana	0	0	0	0	0
Fragilaria nanoides	75	35	0	0	0
Fragilaria nitzschioides	0	0	0	0	0
Fragilaria pararumpens	5	3	0	0	0
Fragilaria pectinalis	0	0	0	0	0
Fragilaria perminuta	0	0	0	0	0
Fragilaria pinnata	0	0	0	0	0
Fragilaria pinnata var. lancettula	0	0	0	0	0
Fragilaria pinnata var. trigona	0	0	0	0	0
Fragilaria pseudoconstruens	0	0	0	0	0
Fragilaria radians	18	0	0	0	0
Fragilaria recapitellata	0	0	0	0	0
Fragilaria robusta	0	0	0	0	0
Fragilaria rotundissima	0	0	0	0	0
